Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    569.99     0.00       49     0.00     0.01  Parallel::fill_level_data(MyList<Patch>*, MyList<Patch>*, MyList<Patch>*, MyList<var>*, MyList<var>*, MyList<var>*, MyList<var>*, int, bool, bool)
  0.00    569.99     0.00       49     0.00     0.00  Parallel::build_complete_gsl_virtual(MyList<Patch>*)
  0.00    569.99     0.00       49     0.00     0.00  Parallel::cut_gs(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*&)
  0.00    569.99     0.00       21     0.00     0.05  bssn_class::Interp_Constraint(bool)
  0.00    569.99     0.00       21     0.00     2.20  bssn_class::Compute_Constraint()
  0.00    569.99     0.00       21     0.00     0.57  cgh::cgh(int, int, int, char*, int, monitor*)
  0.00    569.99     0.00       20     0.00     0.04  bssn_class::Compute_Psi4(int)
  0.00    569.99     0.00       20     0.00     0.00  perf::MemoryUsage(unsigned long*, unsigned long*, unsigned long*, unsigned long*, unsigned long*, unsigned long*, int)
  0.00    569.99     0.00       20     0.00     0.00  perf::sample_mem_usage(int)
  0.00    569.99     0.00       15     0.00     0.00  var::setpropspeed(double)
  0.00    569.99     0.00       13     0.00     0.00  Parallel::aligncheck(double*, double*, int, double*, int*)
  0.00    569.99     0.00       12     0.00     0.00  Patch::checkPatch(bool)
  0.00    569.99     0.00       12     0.00     0.00  Parallel::Dump_Data(Patch*, MyList<var>*, char*, double, double, int)
  0.00    569.99     0.00        9     0.00     0.00  Parallel::Dump_Data(MyList<Patch>*, MyList<var>*, char*, double, double)
  0.00    569.99     0.00        9     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::find(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00    569.99     0.00        7     0.00     0.00  Parallel::prepare_inter_time_level(Patch*, MyList<var>*, MyList<var>*, MyList<var>*, int)
  0.00    569.99     0.00        5     0.00     0.00  monitor::~monitor()
  0.00    569.99     0.00        3     0.00     0.00  frame_dummy
  0.00    569.99     0.00        2     0.00     0.00  checkpoint::addvariablelist(MyList<var>*)
  0.00    569.99     0.00        2     0.00     0.00  misc::inversearray(double*, int)
  0.00    569.99     0.00        2     0.00     0.00  std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::~pair()
  0.00    569.99     0.00        2     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, bool> std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_M_insert_unique<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&&)
  0.00    569.99     0.00        1     0.00     0.57  bssn_class::Initialize()
  0.00    569.99     0.00        1     0.00     2.59  bssn_class::Read_Ansorg()
  0.00    569.99     0.00        1     0.00     0.00  bssn_class::Setup_Black_Hole_position()
  0.00    569.99     0.00        1     0.00   556.15  bssn_class::Evolve(int)
  0.00    569.99     0.00        1     0.00     0.00  bssn_class::bssn_class(double, double, double, double, double, double, double, int, int, char*, double, double, double, int, int, int, double, double)
  0.00    569.99     0.00        1     0.00     0.00  bssn_class::~bssn_class()
  0.00    569.99     0.00        1     0.00     0.00  checkpoint::checkpoint(bool, char const*, int)
  0.00    569.99     0.00        1     0.00     0.00  checkpoint::~checkpoint()
  0.00    569.99     0.00        1     0.00     0.00  surface_integral::surface_integral(int)
  0.00    569.99     0.00        1     0.00     0.00  surface_integral::~surface_integral()
  0.00    569.99     0.00        1     0.00     0.00  cgh::compose_cgh(int)
  0.00    569.99     0.00        1     0.00     0.00  cgh::settrfls(int)
  0.00    569.99     0.00        1     0.00     0.00  cgh::read_bbox(int, char*)
  0.00    569.99     0.00        1     0.00     0.00  cgh::sethandle(monitor*)
  0.00    569.99     0.00        1     0.00     0.00  cgh::~cgh()
  0.00    569.99     0.00        1     0.00     0.00  misc::gaulegf(double, double, double*, double*, int)
  0.00    569.99     0.00        1     0.00     0.00  perf::perf()
  0.00    569.99     0.00        1     0.00     0.00  perf::~perf()
  0.00    569.99     0.00        1     0.00     0.00  Ansorg::set_ABp()
  0.00    569.99     0.00        1     0.00     0.00  Ansorg::Ansorg(char*, int)
  0.00    569.99     0.00        1     0.00     0.00  Ansorg::~Ansorg()
  0.00    569.99     0.00        1     0.00     0.00  monitor::print_message(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00    569.99     0.00        1     0.00     0.00  std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> > >::~map()
  0.00    569.99     0.00        1     0.00     0.00  std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::pair<char const (&) [9], std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, true>(char const (&) [9], std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
